
This is storm data analysis for Atlantic
     Storm_ID            name            distance     storm propagation  max propagation     storm energy    max surface area 
     AL051865          UNNAMED              0                 0              22664.72             0                 0         
     AL061865          UNNAMED              0                 0              22664.72             0                 0         
     AL071865          UNNAMED          3995429.78        121073.63          44339.43           214.1               0         
     AL011866          UNNAMED          1027127.06         57062.61          44339.43           99.56               0         
     AL021866          UNNAMED          4084074.61        194479.74          39624.13           119.54              0         
     AL031866          UNNAMED          2204270.71        169559.29          40409.96           75.78               0         
     AL041866          UNNAMED              0                 0              40409.96             0                 0         
     AL051866          UNNAMED          1579311.16        143573.74          40409.96           60.01               0         
     AL061866          UNNAMED          8118440.34        172732.77          64359.62           282.29              0         
     AL071866          UNNAMED          1686782.38         281130.4          64359.62           34.91               0         
     AL011867          UNNAMED          680384.78          68038.48          60790.57           60.22               0         
     AL021867          UNNAMED          5147884.45        190662.39          81331.57           163.73              0         
     AL031867          UNNAMED              0                 0              44889.68             0                 0         
     AL041867          UNNAMED          1750646.61        116709.77          44889.68           87.78               0         
     AL051867          UNNAMED              0                 0              30024.28             0                 0         
     AL061867          UNNAMED          957975.22         106441.69          30024.28           55.73               0         
     AL071867          UNNAMED          2907223.83         88097.69          24595.85           192.27              0         
     AL081867          UNNAMED              0                 0              7146.39              0                 0         
     AL091867          UNNAMED          2435050.02        152190.63          35393.46           108.19              0         
     AL011868          UNNAMED          2748614.73        161683.22          50313.23           105.71              0         
     AL021868          UNNAMED          4197994.36        149928.37          50979.12           186.25              0         
     AL031868          UNNAMED          664292.28          60390.21          28186.32            66.0               0         
     AL041868          UNNAMED          1372435.53        124766.87          31482.96            71.5               0         
     AL011869          UNNAMED          392851.03         130950.34          31482.96            18.0               0         
     AL021869          UNNAMED          726388.68          90798.58          22967.27           39.56               0         
     AL031869          UNNAMED          306905.11          102301.7          23010.75            18.0               0         
     AL041869          UNNAMED          881279.52         125897.07          24334.96           46.37               0         
     AL051869          UNNAMED           496770.8          62096.35          24226.31           41.26               0         
     AL061869          UNNAMED          2281620.48        207420.04          82548.31           60.77               0         
     AL071869          UNNAMED          4612231.11        148781.65          82548.31           185.51              0         
     AL081869          UNNAMED              0                 0              28711.36             0                 0         
     AL091869          UNNAMED              0                 0              28711.36             0                 0         
     AL101869          UNNAMED          2082050.77        231338.97          67751.99           46.22               0         
     AL011870          UNNAMED              0                 0              46953.15             0                 0         
     AL021870          UNNAMED          3879259.36        168663.45          55625.32           147.63              0         
     AL031870          UNNAMED          2939087.35        195939.16          55625.32           88.91               0         
     AL041870          UNNAMED          3936514.82        207184.99          46059.6            116.83              0         
     AL051870          UNNAMED          4260158.77        284010.58          85404.01           88.02               0         
     AL061870          UNNAMED          2737259.03         70186.13          64965.91           250.71              0         
     AL071870          UNNAMED              0                 0              26585.61             0                 0         
     AL081870          UNNAMED          1295224.45        259044.89          61778.15            30.0               0         
     AL091870          UNNAMED          2169115.9         127595.05          61778.15           99.54               0         
     AL101870          UNNAMED              0                 0              29583.18             0                 0         
     AL111870          UNNAMED          1107068.34         58266.75          29583.18           123.46              0         
     AL011871          UNNAMED          2259314.61        112965.73          35478.48           119.32              0         
     AL021871          UNNAMED          1272952.66        106079.39          35478.48           71.32               0         
     AL031871          UNNAMED          2795269.26         69881.73          20332.32           230.08              0         
     AL041871          UNNAMED          8310874.23        148408.47          54157.0            360.64              0         
     AL051871          UNNAMED          1997828.74        133188.58          54157.0             90.0               0         
     AL061871          UNNAMED          1664761.76        104047.61          30393.55           96.55               0         
     AL071871          UNNAMED          3233365.92        101042.68          46973.16           197.94              0         
     AL081871          UNNAMED          3783048.6         291003.74          83283.85           74.19               0         
     AL011872          UNNAMED          1334718.61         63558.03          83283.85           125.32              0         
     AL021872          UNNAMED          6289971.66        114363.12          35159.99           340.6               0         
     AL031872          UNNAMED          3821517.35         81308.88          23188.43           295.61              0         
     AL041872          UNNAMED          4499440.47        166645.94          48640.74           175.61              0         
     AL051872          UNNAMED          3574335.13        132382.78          43533.15           170.73              0         
     AL011873          UNNAMED          1111529.39        158789.91          37317.36           38.53               0         
     AL021873          UNNAMED          8544230.08         135622.7          36807.09           389.2               0         
     AL031873          UNNAMED          2448303.24        204025.27          64636.55           75.15               0         
     AL041873          UNNAMED          2276282.07        189690.17          64636.55           80.51               0         
     AL051873          UNNAMED          6174826.31        106462.52          63627.23           371.98              0         
     AL011874          UNNAMED          1350168.81         96440.63          23051.68           83.32               0         
     AL021874          UNNAMED          2941158.08        154797.79          34691.56           119.67              0         
